Hours_Studied,Attendance,Sleep_Hours,Motivation_Level,Parental_Involvement,Access_to_Resources,Tutoring_Sessions,Internet_Access,Extracurricular_Activities,Peer_Influence,Learning_Disabilities,Physical_Activity,Gender
23,84,7,Low,Low,High,0,Yes,No,Positive,No,3,Male
19,64,8,Low,Low,Medium,2,Yes,No,Negative,No,4,Female
24,98,7,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,4,Male
29,89,8,Medium,Low,Medium,1,Yes,Yes,Negative,No,4,Male
19,92,6,Medium,Medium,Medium,3,Yes,Yes,Neutral,No,4,Female
19,88,8,Medium,Medium,Medium,3,Yes,Yes,Positive,No,3,Male
29,84,7,Low,Medium,Low,1,Yes,Yes,Neutral,No,2,Male
25,78,6,Medium,Low,High,1,Yes,Yes,Negative,No,2,Male
17,94,6,High,Medium,High,0,Yes,No,Neutral,No,1,Male
23,98,8,Medium,Medium,Medium,0,Yes,Yes,Positive,No,5,Male
17,80,8,Medium,Low,High,4,No,No,Neutral,No,4,Male
17,97,6,Low,Medium,High,2,Yes,Yes,Neutral,No,2,Male
21,83,8,Low,Medium,Medium,2,Yes,Yes,Positive,No,4,Male
9,82,8,Medium,Medium,Medium,2,Yes,Yes,Positive,No,3,Male
10,78,8,Medium,Medium,High,1,Yes,Yes,Neutral,No,4,Male
17,68,8,Medium,Medium,Medium,2,Yes,No,Positive,No,4,Female
14,60,10,Low,Medium,Low,0,Yes,Yes,Positive,No,3,Male
22,70,6,Medium,Low,Medium,1,Yes,Yes,Neutral,No,3,Female
15,80,9,Low,Medium,Medium,3,Yes,Yes,Positive,No,2,Female
12,75,7,Medium,Medium,High,3,Yes,Yes,Positive,No,4,Male
29,78,5,High,Medium,Medium,0,Yes,No,Negative,No,1,Female
19,99,6,Medium,Medium,High,1,Yes,No,Neutral,No,3,Male
20,74,8,Low,Medium,High,1,Yes,No,Negative,No,2,Female
11,78,8,High,High,Medium,1,Yes,Yes,Neutral,No,3,Male
17,65,5,Medium,Low,High,2,Yes,Yes,Positive,No,3,Female
21,62,6,High,High,Low,0,Yes,Yes,Positive,No,3,Male
13,91,6,Medium,Low,Medium,1,Yes,No,Negative,Yes,2,Female
22,83,6,Medium,High,High,0,Yes,Yes,Neutral,No,2,Male
16,90,4,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Female
18,66,4,Low,High,High,2,Yes,No,Neutral,No,2,Male
16,83,6,Medium,Low,Medium,0,Yes,No,Positive,Yes,4,Female
31,70,7,Medium,Medium,High,1,Yes,Yes,Negative,No,3,Male
20,69,8,Medium,Medium,Medium,2,Yes,Yes,Positive,No,3,Male
14,60,5,Medium,High,Medium,2,Yes,No,Neutral,No,3,Female
25,65,5,Medium,High,Medium,2,Yes,No,Positive,No,3,Female
13,72,6,Low,Low,Medium,1,Yes,No,Negative,No,3,Male
21,65,7,Low,Medium,Low,2,Yes,Yes,Positive,No,3,Female
8,99,9,Low,Medium,Medium,2,Yes,No,Neutral,No,5,Female
12,72,8,Medium,Low,Medium,1,Yes,Yes,Positive,No,5,Female
21,65,6,Low,Low,Medium,1,Yes,Yes,Negative,No,4,Male
